---------------------------------------------------------------------------------------------------
Date: 7/27/2026 -- 23:01:26 (uptime: 0d, 00h 00m 01s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 86
decoder.bytes                                                | Total                     | 9276
decoder.ipv4                                                 | Total                     | 86
decoder.ethernet                                             | Total                     | 86
decoder.tcp                                                  | Total                     | 86
tcp.syn                                                      | Total                     | 9
tcp.synack                                                   | Total                     | 9
decoder.avg_pkt_size                                         | Total                     | 107
decoder.max_pkt_size                                         | Total                     | 916
flow.total                                                   | Total                     | 9
flow.tcp                                                     | Total                     | 9
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 6
tcp.sessions                                                 | Total                     | 9
tcp.ssn_from_pool                                            | Total                     | 9
tcp.segment_from_pool                                        | Total                     | 18
detect.alert                                                 | Total                     | 37
detect.alerts_suppressed                                     | Total                     | 8
app_layer.flow.http                                          | Total                     | 9
app_layer.tx.http                                            | Total                     | 9
flow.end.state.closed                                        | Total                     | 9
flow.end.tcp_state.closed                                    | Total                     | 9
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9900
memcap.pressure                                              | Total                     | 9
memcap.pressure_max                                          | Total                     | 9
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 9
flow.recycler.queue_max                                      | Total                     | 9
tcp.memuse                                                   | Total                     | 6225920
tcp.reassembly_memuse                                        | Total                     | 1146880
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
