---------------------------------------------------------------------------------------------------
Date: 7/27/2026 -- 22:49:59 (uptime: 0d, 00h 00m 02s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 12
decoder.bytes                                                | Total                     | 612
decoder.ipv4                                                 | Total                     | 12
decoder.ethernet                                             | Total                     | 12
decoder.icmpv4                                               | Total                     | 12
decoder.avg_pkt_size                                         | Total                     | 51
decoder.max_pkt_size                                         | Total                     | 60
flow.total                                                   | Total                     | 6
flow.icmpv4                                                  | Total                     | 6
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 6
detect.alert                                                 | Total                     | 1
detect.alerts_suppressed                                     | Total                     | 5
flow.end.state.established                                   | Total                     | 6
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9400
memcap.pressure                                              | Total                     | 9
memcap.pressure_max                                          | Total                     | 9
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 6
flow.recycler.queue_max                                      | Total                     | 6
tcp.memuse                                                   | Total                     | 6225920
tcp.reassembly_memuse                                        | Total                     | 1146880
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
