---------------------------------------------------------------------------------------------------
Date: 7/28/2026 -- 23:09:56 (uptime: 0d, 00h 00m 02s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 200
decoder.bytes                                                | Total                     | 12000
decoder.ipv4                                                 | Total                     | 200
decoder.ethernet                                             | Total                     | 200
decoder.tcp                                                  | Total                     | 200
tcp.syn                                                      | Total                     | 200
decoder.avg_pkt_size                                         | Total                     | 60
decoder.max_pkt_size                                         | Total                     | 60
flow.total                                                   | Total                     | 200
flow.tcp                                                     | Total                     | 200
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 10
tcp.sessions                                                 | Total                     | 200
tcp.ssn_from_pool                                            | Total                     | 200
detect.alert                                                 | Total                     | 195
detect.alerts_suppressed                                     | Total                     | 5
flow.end.state.new                                           | Total                     | 200
flow.end.tcp_state.syn_sent                                  | Total                     | 200
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 10000
memcap.pressure                                              | Total                     | 9
memcap.pressure_max                                          | Total                     | 9
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 200
flow.recycler.queue_avg                                      | Total                     | 1
flow.recycler.queue_max                                      | Total                     | 100
tcp.memuse                                                   | Total                     | 6225920
tcp.reassembly_memuse                                        | Total                     | 1146880
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7154304
